layout, probability, opt cond exp dist, cond exp dist storm
layout/4_10x10_4.lay, 1.0, 6.985123042780721, 74067.8466123839
layout/2_10x10_8.lay, 0.901617027421667, 89.44533520405088, 4470.608379063053
layout/3_10x10_10.lay, 1.0, 1.1999999994910828, 1.1999999944019115
layout/4_10x10_5.lay, 1.0, 4.87833398559583, 249.79127348061442
layout/4_10x10_14.lay, 0.9090909087053657, 33.60794338267136, 1842.0873318435429
layout/2_10x10_4.lay, 1.0, 14.980617129226175, 371.0225070309619
layout/5_10x10_3.lay, 0.730652326133429, 21.595885572468504, 20153.945285634698
layout/4_10x10_13.lay, 1.0, 31.379785527073498, 1459.548645119926
layout/2_10x10_15.lay, 0.9090909090909091, 1.0, 1.0
layout/5_10x10_5.lay, 1.0, 7.78352524738764, 631.8861277316297
layout/2_10x10_7.lay, 0.737487165377977, 220.9174937357166, 310.7475314017191
layout/3_10x10_2.lay, 0.8929996986701331, 12.26154433944049, 76.4501392208934
layout/5_10x10_16.lay, 1.0, 7.969118713386178, 82.90867591902393
layout/4_10x10_18.lay, 1.0, 24.72561799178963, 611.1152746163442
layout/1_10x10_11.lay, 1.0, 15.14809353475501, 70547.76870715238
layout/2_10x10_1.lay, 1.0, 28.905803462071397, 141.14251544087247
layout/5_10x10_12.lay, 1.0, 7.712672721364346, 137.56289970232504
layout/1_10x10_17.lay, 1.0, 112.68636988014364, 9367.016218709497
layout/3_10x10_1.lay, 0.9014695683071173, 317.50180528189304, 891.4693020756304
layout/4_10x10_15.lay, 0.9999519634044934, 46.699373896593066, 633.2506385290635
layout/5_10x10_11.lay, 0.999679616772127, 18.080924631195895, 38.21710686865402
layout/5_10x10_13.lay, 1.0, 1.2181954887218045, 157946.52446645527
layout/2_10x10_14.lay, 1.0, 2.4422708675636278, 48.64933311571222
layout/1_10x10_16.lay, 1.0, 58.83131517915486, 25710.36458181166
layout/5_10x10_4.lay, 1.0, 7.731961593961743, 109.76648808066275
layout/3_10x10_9.lay, 1.0, 31.84899839397633, 229.60954317910534
layout/5_10x10_6.lay, 1.0, 11.087983514821591, 418.2762974051272
layout/1_10x10_2.lay, 0.9090909090909091, 12.88968775254707, 149357.5654424426
layout/5_10x10_10.lay, 1.0, 7.511067145517415, 2875.9723324914494
layout/2_10x10_18.lay, 0.6767779091890508, 264.03748361414296, 9598.811635113105
layout/5_10x10_1.lay, 1.0, 38.04510495108303, 1201.3905759422057
layout/3_10x10_12.lay, 0.9015777610818935, 38.63840787920804, 1770.8647241818855
layout/4_10x10_8.lay, 0.9098353037934771, 10.607047217768924, 234.43485634823213
layout/3_10x10_4.lay, 1.0, 2.402771098177061, 2003.1398292406734
layout/3_10x10_16.lay, 1.0, 15.810449634935521, 141.368358825873
layout/2_10x10_2.lay, 0.9861397839275862, 25.802829268799922, 26.634568977693156
layout/1_10x10_13.lay, 1.0, 42.34334979483474, 27663.213156390702
layout/2_10x10_12.lay, 1.0, 10.057174802182036, 43.20173399482826
layout/3_10x10_3.lay, 1.0, 6.930910033588337, 608.7766423659092
layout/3_10x10_17.lay, 1.0, 1.4456953672407944, 1.4753412745884744
layout/1_10x10_5.lay, 1.0, 8.66019095402515, 292.52446092755434
layout/3_10x10_19.lay, 1.0, 7.835733370219352, 467.0330284319211
layout/3_10x10_8.lay, 1.0, 27.321920025477684, 143.05968742758296
layout/5_10x10_9.lay, 1.0, 1.4424961245194838, 932.7670412086278
layout/1_10x10_3.lay, 0.9090905277411329, 11.493183238120443, 5879.634317705188
layout/1_10x10_1.lay, 1.0, 7.793427419823359, 54188.933862473255
layout/2_10x10_0.lay, 1.0, 7.489051555038735, 8893.613103566497
layout/1_10x10_8.lay, 1.0, 5.418057891880374, 1948007.1241031247
layout/5_10x10_19.lay, 1.0, 26.856396395813665, 35.59404651480802
layout/1_10x10_12.lay, 0.8333269634289897, 29.445932934754584, 5837.845874357066
layout/3_10x10_15.lay, 1.0, 11.81104797681871, 43633.325672537794
layout/4_10x10_1.lay, 1.0, 2.4021401233791604, 28.116193235845905
layout/1_10x10_10.lay, 1.0, 2.810870696410716, 1607.3436156687098
layout/4_10x10_19.lay, 1.0, 34.602434238352764, 350.94846222313186
layout/4_10x10_0.lay, 1.0, 9.03001719028057, 1400.9892153833434
layout/2_10x10_9.lay, 1.0, 1.4046115326831998, 5.505639169131869
layout/1_10x10_19.lay, 1.0, 8.476191600078, 870019.7271526812
layout/3_10x10_13.lay, 1.0, 23.105245065977268, 72.10048162141752
layout/2_10x10_3.lay, 0.6003894758320217, 282.9121077364145, 383.1756953447015
layout/4_10x10_10.lay, 0.0, inf, inf
layout/5_10x10_14.lay, 0.6649178200157643, 76.48117993722462, 76.48113922323215
layout/4_10x10_7.lay, 0.9901799005693428, 15.833483381280056, 121.25389700091895
layout/5_10x10_17.lay, 0.9991816641580789, 63.74337868879868, 1213.112933696366
layout/1_10x10_7.lay, 1.0, 215.42600996073784, 6753.767725714627
layout/2_10x10_10.lay, 1.0, 64.71283681364274, 760.1097133140966
layout/4_10x10_17.lay, 0.0, inf, inf
layout/1_10x10_6.lay, 1.0, 2.438391408699562, 20.21490016455758
layout/2_10x10_16.lay, 1.0, 5.261469849364224, 22.43020904571144
layout/5_10x10_8.lay, 1.0, 7.665443390998674, 27.560697059234602
layout/3_10x10_0.lay, 1.0, 2.8119301207653526, 170.29113425485946
layout/1_10x10_0.lay, 1.0, 8.012122075046854, 62.37219642076154
layout/1_10x10_14.lay, 0.8993479407921767, 40.9578173169219, 588838.9319473448
